epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1851.28,0.82949,0.51026,1.09504,0.97344,0.96582,0.97676,0.85177,0.73907,0.4515,1.03961,0.000808625,0.000808625,0.000808625
109,1868.8,0.83921,0.5131,1.08797,0.98386,0.96203,0.9783,0.85522,0.73778,0.43898,1.02875,0.0008045,0.0008045,0.0008045
110,1885.48,0.82809,0.5113,1.09839,0.98193,0.95919,0.97669,0.85213,0.74003,0.44039,1.03277,0.000800375,0.000800375,0.000800375
111,1902.32,0.81864,0.4972,1.08816,0.98003,0.96829,0.97884,0.85307,0.73669,0.43896,1.03764,0.00079625,0.00079625,0.00079625
112,1919.96,0.80964,0.49686,1.08242,0.98564,0.96357,0.97821,0.85995,0.72829,0.43206,1.03081,0.000792125,0.000792125,0.000792125
113,1936.83,0.80201,0.49367,1.08007,0.97871,0.96807,0.97863,0.84762,0.76354,0.43968,1.04929,0.000788,0.000788,0.000788
114,1953.87,0.82615,0.49615,1.09,0.97491,0.96475,0.9789,0.85793,0.74057,0.44012,1.04068,0.000783875,0.000783875,0.000783875
115,1970.77,0.80515,0.49025,1.08038,0.97679,0.96393,0.98008,0.86269,0.72581,0.42922,1.02332,0.00077975,0.00077975,0.00077975
116,1988.47,0.8348,0.50308,1.1026,0.97988,0.95631,0.978,0.85485,0.73459,0.44764,1.03186,0.000775625,0.000775625,0.000775625
117,2005.4,0.81458,0.49783,1.0797,0.97859,0.9612,0.98043,0.85477,0.73402,0.43765,1.02957,0.0007715,0.0007715,0.0007715
118,2022.23,0.80749,0.49193,1.08989,0.97492,0.96467,0.97956,0.86119,0.72098,0.42994,1.02513,0.000767375,0.000767375,0.000767375
119,2039.84,0.81996,0.49959,1.08687,0.97711,0.96075,0.97667,0.85933,0.72482,0.44458,1.02766,0.00076325,0.00076325,0.00076325
120,2056.57,0.77919,0.47328,1.06651,0.98165,0.9609,0.97931,0.86314,0.72501,0.43217,1.02418,0.000759125,0.000759125,0.000759125
121,2073.46,0.80772,0.48603,1.07712,0.97721,0.95895,0.97854,0.86189,0.71041,0.42078,1.01925,0.000755,0.000755,0.000755
122,2090.33,0.78984,0.47743,1.07509,0.98199,0.96084,0.97792,0.86056,0.72953,0.43241,1.02698,0.000750875,0.000750875,0.000750875
123,2107.91,0.80104,0.49004,1.0743,0.97077,0.96136,0.97722,0.86106,0.72125,0.43599,1.03479,0.00074675,0.00074675,0.00074675
124,2124.77,0.79196,0.4801,1.07625,0.97666,0.95697,0.97769,0.85588,0.73189,0.43829,1.02502,0.000742625,0.000742625,0.000742625
125,2141.56,0.79918,0.4826,1.07654,0.97461,0.96335,0.9789,0.85261,0.76513,0.43716,1.04914,0.0007385,0.0007385,0.0007385
126,2158.88,0.78344,0.47207,1.0671,0.98098,0.96453,0.97908,0.86137,0.71545,0.42117,1.01869,0.000734375,0.000734375,0.000734375
127,2175.84,0.79216,0.47559,1.07336,0.97778,0.95861,0.9792,0.86292,0.71073,0.43455,1.01474,0.00073025,0.00073025,0.00073025
128,2192.88,0.77799,0.47348,1.06327,0.98127,0.96212,0.9773,0.85921,0.73317,0.43257,1.02872,0.000726125,0.000726125,0.000726125
129,2209.59,0.78607,0.48003,1.0719,0.97766,0.96458,0.97761,0.86391,0.7269,0.43585,1.02748,0.000722,0.000722,0.000722
130,2227.05,0.78312,0.47672,1.06556,0.97834,0.95954,0.97793,0.85865,0.72329,0.43814,1.02361,0.000717875,0.000717875,0.000717875
131,2243.91,0.78467,0.47555,1.07414,0.98069,0.95534,0.9776,0.85634,0.73078,0.42772,1.03569,0.00071375,0.00071375,0.00071375
132,2260.84,0.7841,0.4798,1.06272,0.97438,0.9638,0.97913,0.85912,0.73355,0.42409,1.03511,0.000709625,0.000709625,0.000709625
133,2277.94,0.78787,0.48281,1.0779,0.98149,0.96152,0.97799,0.86326,0.7258,0.42482,1.03554,0.0007055,0.0007055,0.0007055
134,2295.13,0.76204,0.46141,1.06604,0.98454,0.96375,0.97933,0.86229,0.73398,0.42119,1.04019,0.000701375,0.000701375,0.000701375
135,2311.96,0.78133,0.47292,1.07049,0.9821,0.96807,0.98038,0.86233,0.73578,0.42694,1.04303,0.00069725,0.00069725,0.00069725
136,2328.77,0.76961,0.46361,1.06098,0.97846,0.96479,0.97984,0.86619,0.70638,0.41569,1.01717,0.000693125,0.000693125,0.000693125
